latitude,longitude,elevation_m,slope_deg,distance_to_river_m
24.05,83.049995,367.0,0.5067773340782542,1095.9265548343985
24.05,83.15,357.0,0.764324300756209,1012.8007084625181
24.05,83.25,301.0,1.489076586011147,1177.4386574272407
24.05,83.35,313.0,0.6868167312823273,1671.39503847465
24.05,83.45,335.0,1.2389403072069645,492.08654720029995
24.05,83.549995,383.0,0.4694639417935504,2343.4228690113637
24.05,83.65,340.0,2.1325884804738533,2685.06346933262
24.05,83.75,278.0,0.28681793505176656,811.9089628646097
24.05,83.85,257.0,0.5757160614735878,778.6760862644437
24.05,83.95,217.0,0.1059467274574659,334.7829177573268
24.05,84.049995,218.0,0.7044111182087343,314.0574513083033
24.05,84.15,224.0,0.18528933452747842,675.5913465959442
24.05,84.25,252.0,0.2758911198845026,941.1515223074446
24.05,84.35,268.0,0.43699098167027867,1059.5499289967574
24.05,84.45,276.0,0.2703496274280612,555.0252495530692
24.05,84.549995,298.0,0.48281833225142,1034.9013880711445
24.05,84.65,431.0,1.1431813226170757,2685.015868909238
24.05,84.75,471.0,0.47157784786624735,588.7204852593592
24.05,84.85,523.0,1.2126270029936814,3149.6194881246547
24.05,84.95,556.0,0.21543162257838525,1253.410101204428
24.05,85.049995,599.0,0.6477252461312347,2548.615725045619
24.05,85.15,579.0,2.7525126804527136,1709.1078310439666
24.05,85.25,582.0,0.6861678923915844,497.4858446932459
24.05,85.35,595.0,0.320954545559784,785.7715420124708
24.05,85.45,565.0,0.45860619118574136,785.7549067790225
24.05,85.549995,547.0,0.3319767726220417,313.37271591684043
24.05,85.65,571.0,0.6755692705252172,939.6194972037241
24.05,85.75,446.0,0.7266512148199555,326.7738556442521
24.05,85.85,370.0,0.44025687643194855,658.836268252404
24.05,85.95,303.0,0.41478786757853214,1082.7926306862234
24.05,86.049995,356.0,1.091892311598934,1882.6662988702928
24.05,86.15,351.0,0.8526007147080923,1163.7563138387743
24.05,86.25,265.0,0.5887259703946864,965.6278031783587
24.05,86.35,215.0,0.10920481849340967,577.3719606444848
24.05,86.45,223.0,0.8051492830157675,785.7549067842393
24.05,86.549995,265.0,0.636333408520334,1676.0009747194738
24.05,86.65,217.0,0.5677408279854086,241.17942144480637
24.05,86.75,201.0,0.3037453072282835,532.9563714538108
24.05,86.85,166.0,0.5610353932903241,941.1515223126714
24.05,86.95,206.0,0.41509132689261585,2500.1554149469953
24.05,87.049995,196.0,0.5777399060262579,950.5800765306282
24.05,87.15,138.0,0.36712303040720695,273.68879915322685
24.05,87.25,118.0,0.3555516230136924,313.71485961952607
24.05,87.35,89.0,0.24222752022378244,313.7125446818754
24.05,87.45,104.0,0.18290594761984358,1829.467905305941
24.05,87.549995,64.0,0.14114979049371737,235.57972452804208
24.05,87.65,59.0,0.27994916058502656,1154.7360595306386
24.05,87.75,38.0,0.18661675662650953,313.7148595595109
24.05,87.85,35.0,0.04632248502203958,1084.771581141739
24.05,87.95,30.0,0.07547242710898447,813.6317337024445
24.05,88.049995,18.0,0.017216301182069335,1136.5305446316936
24.05,88.15,25.0,0.19815904121223915,937.9595824866443
24.05,88.25,19.0,0.0539075780094069,1315.9609356391893
24.05,88.35,19.0,0.024709179949419093,726.4506088043959
24.05,88.45,18.0,0.03443259925525689,1673.1239868058326
24.15,83.049995,367.0,0.15536476786424577,3492.442785562845
24.15,83.15,299.0,0.7961150644446606,1914.4682335840514
24.15,83.25,283.0,0.6567145184899774,2337.458514758065
24.15,83.35,270.0,0.6475055498413711,675.126092273907
24.15,83.45,348.0,1.0710618868656958,2127.3415853573247
24.15,83.549995,302.0,0.4884406624418863,378.9437374756497
24.15,83.65,250.0,0.33349632841257565,232.36475839958223
24.15,83.75,216.0,0.33177610726189405,475.562986589459
24.15,83.85,201.0,0.3654178514671388,651.58196851026
24.15,83.95,192.0,0.2863226717522414,452.1867254468879
24.15,84.049995,194.0,0.10944823802520073,313.9434065629023
24.15,84.15,229.0,0.33477060411209786,953.602776674701
24.15,84.25,264.0,0.26249230250104916,1550.5300663557457
24.15,84.35,301.0,1.0274538967543048,3269.6231978633004
24.15,84.45,312.0,1.0487890657635761,5.5394799855151056e-08
24.15,84.549995,396.0,0.7142879059967275,2787.9383507712046
24.15,84.65,357.0,0.6109647045021427,1056.9048749964927
24.15,84.75,412.0,1.360283240001472,1626.546713671173
24.15,84.85,452.0,0.747958594590134,2390.446759033907
24.15,84.95,472.0,0.4921686220332939,992.2112471220545
24.15,85.049995,468.0,0.665931621392064,463.31247215270713
24.15,85.15,449.0,0.28633703828084806,645.2017978239916
24.15,85.25,499.0,1.318616332598422,1018.5031995540994
24.15,85.35,484.0,1.8447376014628158,312.684996040078
24.15,85.45,554.0,1.2432152289520837,231.65609713630374
24.15,85.549995,515.0,3.1365549188682307,1153.5153253779717
24.15,85.65,402.0,3.958803277497927,675.1358032574618
24.15,85.75,388.0,0.7258844347514622,1452.8020806362367
24.15,85.85,345.0,0.5667436042524393,943.6548914540009
24.15,85.95,295.0,0.5292192880833562,313.6012363821497
24.15,86.049995,280.0,0.4945121714081637,829.8043607883347
24.15,86.15,250.0,0.11495333408764312,461.4385004415859
24.15,86.25,266.0,0.8882687990952701,1056.9048750739428
24.15,86.35,299.0,0.6501847341095056,2127.3415853393653
24.15,86.45,312.0,0.6043808750998199,2354.8272830269575
24.15,86.549995,302.0,0.22610358191077568,2851.3850881682783
24.15,86.65,243.0,0.561429482779223,2188.9007725079955
24.15,86.75,198.0,0.4438121933799176,211.3809750081274
24.15,86.85,197.0,0.38064538411112986,347.9882278135011
24.15,86.95,233.0,0.5149183576842372,1018.5031995562425
24.15,87.049995,198.0,0.5421290923046691,482.5126906231693
24.15,87.15,222.0,2.655725948145774,2899.893817342845
24.15,87.25,136.0,0.6732711960260411,617.3475968143568
24.15,87.35,152.0,2.525939942496073,1570.6931099118362
24.15,87.45,110.0,0.46754751399155264,463.3121943960354
24.15,87.549995,168.0,1.7886794408946554,1907.7898131412276
24.15,87.65,67.0,0.43806692905954353,705.9125909138041
24.15,87.75,38.0,0.25468811402411734,1553.9616839490227
24.15,87.85,35.0,0.22799037750458007,1706.8276376648987
24.15,87.95,22.0,0.04632248502203958,348.9126078890201
24.15,88.049995,21.0,0.07156135821453533,1320.74288670587
24.15,88.15,31.0,0.2695359812551771,1706.8549520102215
24.15,88.25,20.0,0.026953794969756417,937.2112424607592
24.15,88.35,20.0,0.011563091211382357,1634.778857545222
24.15,88.45,21.0,0.037736229923783886,1061.255312729732
24.25,83.049995,275.0,0.6956325290328269,231.65665185248847
24.25,83.15,356.0,0.33631796872292957,2897.851926264014
24.25,83.25,256.0,1.5656856528305512,813.2878941543185
24.25,83.35,233.0,0.4047014674058977,257.4115895339878
24.25,83.45,271.0,0.19041662861754857,2223.4993368255905
24.25,83.549995,240.0,0.6983635804824578,521.4767529333659
24.25,83.65,208.0,0.2978848297113945,476.7139027437955
24.25,83.75,219.0,0.8579821936933212,698.0754034379156
24.25,83.85,169.0,0.2289486581487585,313.48954168066825
24.25,83.95,245.0,1.082086882024312,936.5776079939028
24.25,84.049995,290.0,0.32862782058439044,1415.7100377224783
24.25,84.15,318.0,1.5321966776852396,990.3617072612577
24.25,84.25,387.0,0.5016747121443063,2673.993441903619
24.25,84.35,365.0,0.7479083231925809,720.7655680467124
24.25,84.45,282.0,1.2116548398233011,1174.2642934534413
24.25,84.549995,277.0,1.1467511999494246,1067.5149752031566
24.25,84.65,369.0,1.4383819757755236,1590.0523085579523
24.25,84.75,345.0,4.126723869878162,716.1435618672506
24.25,84.85,377.0,2.458798343922925,1366.3410117616424
24.25,84.95,425.0,0.47366772888525416,509.18712376735294
24.25,85.049995,426.0,0.4200820669020003,1962.8126896920955
24.25,85.15,414.0,0.24749357332093652,633.9577144182425
24.25,85.25,425.0,0.40430024388306723,1404.94006333209
24.25,85.35,416.0,0.168048066958261,2024.8127013587666
24.25,85.45,421.0,0.6559181933291116,1675.7057800087587
24.25,85.549995,416.0,1.0154378404970719,1239.0590568549658
24.25,85.65,380.0,0.5565167526567655,2549.4098854243493
24.25,85.75,362.0,0.19320152793441886,2508.000229023065
24.25,85.85,314.0,0.04632248502203958,323.7928972711717
24.25,85.95,315.0,0.41977288128316015,1232.913541592319
24.25,86.049995,302.0,0.5030655818359953,1204.8757402690312
24.25,86.15,350.0,0.6988727932038109,1527.5699796946774
24.25,86.25,327.0,0.07910041205653619,952.7851595273827
24.25,86.35,336.0,0.2916202196275606,693.2559994780894
24.25,86.45,299.0,0.4302556804291063,992.0215530140395
